cat,F,M,uni
Ricercatori/Ricercatrici,-40.86021505376344,59.13978494623656,Arcavacata di Rende - Università della Calabria
Assegnisti/e di Ricerca,-34.285714285714285,65.71428571428571,Arcavacata di Rende - Università della Calabria
Dottori/Dottoresse,-45.45454545454545,54.54545454545454,Arcavacata di Rende - Università della Calabria
Dottorandi/e,-40.21164021164021,59.78835978835979,Arcavacata di Rende - Università della Calabria
Laureati/e,-44.888888888888886,55.111111111111114,Arcavacata di Rende - Università della Calabria
Iscritti/e,-40.3378094838439,59.66219051615611,Arcavacata di Rende - Università della Calabria
Prof. Ordinari/e,-17.857142857142858,82.14285714285714,Potenza - Università degli studi della Basilicata
Prof. Associati/e,-33.80281690140845,66.19718309859155,Potenza - Università degli studi della Basilicata
Ricercatori/Ricercatrici,-37.34939759036144,62.65060240963856,Potenza - Università degli studi della Basilicata
Assegnisti/e di Ricerca,-35.294117647058826,64.70588235294117,Potenza - Università degli studi della Basilicata
Dottori/Dottoresse,-40.0,60.0,Potenza - Università degli studi della Basilicata
Dottorandi/e,-55.91397849462365,44.086021505376344,Potenza - Università degli studi della Basilicata
Laureati/e,-41.41414141414141,58.58585858585859,Potenza - Università degli studi della Basilicata
Iscritti/e,-41.219624025676296,58.780375974323704,Potenza - Università degli studi della Basilicata
Prof. Ordinari/e,-16.27906976744186,83.72093023255815,Lecce - Università del Salento
Prof. Associati/e,-28.71287128712871,71.28712871287128,Lecce - Università del Salento
Ricercatori/Ricercatrici,-44.230769230769226,55.769230769230774,Lecce - Università del Salento
Assegnisti/e di Ricerca,-45.0,55.00000000000001,Lecce - Università del Salento
Dottori/Dottoresse,-42.22222222222222,57.77777777777777,Lecce - Università del Salento
Dottorandi/e,-45.588235294117645,54.41176470588235,Lecce - Università del Salento
Laureati/e,-46.833578792341676,53.166421207658324,Lecce - Università del Salento
Iscritti/e,-44.18496029892574,55.81503970107426,Lecce - Università del Salento
Prof. Ordinari/e,-16.666666666666664,83.33333333333334,Bari - Politecnico
Prof. Associati/e,-28.57142857142857,71.42857142857143,Bari - Politecnico
Ricercatori/Ricercatrici,-25.0,75.0,Bari - Politecnico
Assegnisti/e di Ricerca,-37.96296296296296,62.03703703703704,Bari - Politecnico
Dottori/Dottoresse,-28.125,71.875,Bari - Politecnico
Dottorandi/e,-34.36293436293436,65.63706563706563,Bari - Politecnico
Laureati/e,-33.35129310344828,66.64870689655173,Bari - Politecnico
Iscritti/e,-29.275082985330336,70.72491701466966,Bari - Politecnico
Prof. Ordinari/e,-32.87671232876712,67.12328767123287,Bari - Università degli studi
Prof. Associati/e,-42.57425742574257,57.42574257425742,Bari - Università degli studi
Ricercatori/Ricercatrici,-56.888888888888886,43.111111111111114,Bari - Università degli studi
Assegnisti/e di Ricerca,-58.22784810126582,41.77215189873418,Bari - Università degli studi
Dottori/Dottoresse,-54.385964912280706,45.614035087719294,Bari - Università degli studi
Dottorandi/e,-48.226950354609926,51.77304964539007,Bari - Università degli studi
Laureati/e,-38.701298701298704,61.298701298701296,Bari - Università degli studi
Iscritti/e,-38.38069863824749,61.61930136175252,Bari - Università degli studi
Prof. Ordinari/e,-25.0,75.0,Foggia - Università degli studi
Prof. Associati/e,-66.66666666666666,33.33333333333333,Foggia - Università degli studi
Ricercatori/Ricercatrici,-57.14285714285714,42.857142857142854,Foggia - Università degli studi
Assegnisti/e di Ricerca,-50.0,50.0,Foggia - Università degli studi
Dottori/Dottoresse,-0.0,0.0,Foggia - Università degli studi
Dottorandi/e,-0.0,0.0,Foggia - Università degli studi
Laureati/e,-62.22222222222222,37.77777777777778,Foggia - Università degli studi
Iscritti/e,-65.73741007194245,34.26258992805755,Foggia - Università degli studi
Prof. Ordinari/e,-26.666666666666668,73.33333333333333,Campobasso - Università degli studi del Molise
Prof. Associati/e,-39.39393939393939,60.60606060606061,Campobasso - Università degli studi del Molise
Ricercatori/Ricercatrici,-38.88888888888889,61.111111111111114,Campobasso - Università degli studi del Molise
Assegnisti/e di Ricerca,-42.857142857142854,57.14285714285714,Campobasso - Università degli studi del Molise
Dottori/Dottoresse,-66.66666666666666,33.33333333333333,Campobasso - Università degli studi del Molise
Dottorandi/e,-64.28571428571429,35.714285714285715,Campobasso - Università degli studi del Molise
Laureati/e,-56.64739884393064,43.35260115606936,Campobasso - Università degli studi del Molise
Iscritti/e,-44.78398314014753,55.21601685985248,Campobasso - Università degli studi del Molise
Prof. Ordinari/e,-32.20338983050847,67.79661016949152,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Prof. Associati/e,-34.04255319148936,65.95744680851064,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Ricercatori/Ricercatrici,-63.095238095238095,36.904761904761905,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Assegnisti/e di Ricerca,-51.02040816326531,48.97959183673469,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Dottori/Dottoresse,-50.0,50.0,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Dottorandi/e,-56.896551724137936,43.103448275862064,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Laureati/e,-54.87012987012987,45.12987012987013,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Iscritti/e,-50.35971223021583,49.64028776978417,Chieti e Pescara - Università degli studi Gabriele D'Annunzio
Prof. Ordinari/e,-0.0,100.0,Teramo - Università degli studi
Prof. Associati/e,-9.090909090909092,90.9090909090909,Teramo - Università degli studi
Ricercatori/Ricercatrici,-57.14285714285714,42.857142857142854,Teramo - Università degli studi
Assegnisti/e di Ricerca,-80.0,20.0,Teramo - Università degli studi
Dottori/Dottoresse,-37.5,62.5,Teramo - Università degli studi
Dottorandi/e,-0.0,0.0,Teramo - Università degli studi
Laureati/e,-69.16666666666667,30.833333333333336,Teramo - Università degli studi
Iscritti/e,-66.9449081803005,33.0550918196995,Teramo - Università degli studi
Prof. Ordinari/e,-25.0,75.0,L'Aquila - Università degli studi
Prof. Associati/e,-26.153846153846157,73.84615384615385,L'Aquila - Università degli studi
Ricercatori/Ricercatrici,-43.38235294117647,56.61764705882353,L'Aquila - Università degli studi
Assegnisti/e di Ricerca,-25.581395348837212,74.4186046511628,L'Aquila - Università degli studi
Dottori/Dottoresse,-19.444444444444446,80.55555555555556,L'Aquila - Università degli studi
Dottorandi/e,-38.372093023255815,61.627906976744185,L'Aquila - Università degli studi
Laureati/e,-45.4123112659698,54.587688734030195,L'Aquila - Università degli studi
Iscritti/e,-38.7,61.3,L'Aquila - Università degli studi
Prof. Ordinari/e,-20.54794520547945,79.45205479452055,Salerno - Università degli studi
Prof. Associati/e,-44.87804878048781,55.1219512195122,Salerno - Università degli studi
Ricercatori/Ricercatrici,-43.36283185840708,56.63716814159292,Salerno - Università degli studi
Assegnisti/e di Ricerca,-52.27272727272727,47.72727272727273,Salerno - Università degli studi
Dottori/Dottoresse,-50.57471264367817,49.42528735632184,Salerno - Università degli studi
Dottorandi/e,-46.05678233438486,53.94321766561514,Salerno - Università degli studi
Laureati/e,-34.71717695900363,65.28282304099636,Salerno - Università degli studi
Iscritti/e,-31.93749361658666,68.06250638341334,Salerno - Università degli studi
Prof. Ordinari/e,-50.0,50.0,"Napoli - Università telematica ""Pegaso"""
Prof. Associati/e,-33.33333333333333,66.66666666666666,"Napoli - Università telematica ""Pegaso"""
Ricercatori/Ricercatrici,-100.0,0.0,"Napoli - Università telematica ""Pegaso"""
Assegnisti/e di Ricerca,-0.0,100.0,"Napoli - Università telematica ""Pegaso"""
Dottori/Dottoresse,-0.0,0.0,"Napoli - Università telematica ""Pegaso"""
Dottorandi/e,-0.0,0.0,"Napoli - Università telematica ""Pegaso"""
Laureati/e,-15.275994865211809,84.7240051347882,"Napoli - Università telematica ""Pegaso"""
Iscritti/e,-18.001204093919327,81.99879590608067,"Napoli - Università telematica ""Pegaso"""
Prof. Ordinari/e,-24.545454545454547,75.45454545454545,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Prof. Associati/e,-46.71052631578947,53.289473684210535,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Ricercatori/Ricercatrici,-42.04545454545455,57.95454545454546,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Assegnisti/e di Ricerca,-53.57142857142857,46.42857142857143,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Dottori/Dottoresse,-56.16438356164384,43.83561643835616,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Dottorandi/e,-55.172413793103445,44.827586206896555,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Laureati/e,-49.31693989071038,50.68306010928961,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Iscritti/e,-45.619903826050596,54.3800961739494,"Napoli - Università degli studi della Campania ""Luigi Vanvitelli"""
Prof. Ordinari/e,-14.705882352941178,85.29411764705883,"Napoli - Università degli studi ""Parthenope"""
Prof. Associati/e,-30.434782608695656,69.56521739130434,"Napoli - Università degli studi ""Parthenope"""
Ricercatori/Ricercatrici,-52.083333333333336,47.91666666666667,"Napoli - Università degli studi ""Parthenope"""
Assegnisti/e di Ricerca,-59.09090909090909,40.909090909090914,"Napoli - Università degli studi ""Parthenope"""
Dottori/Dottoresse,-35.0,65.0,"Napoli - Università degli studi ""Parthenope"""
Dottorandi/e,-31.818181818181817,68.18181818181817,"Napoli - Università degli studi ""Parthenope"""
Laureati/e,-40.27777777777778,59.72222222222222,"Napoli - Università degli studi ""Parthenope"""
Iscritti/e,-33.44346549192364,66.55653450807635,"Napoli - Università degli studi ""Parthenope"""
Prof. Ordinari/e,-22.727272727272727,77.27272727272727,"Napoli - Università degli studi ""Federico II"""
Prof. Associati/e,-41.8848167539267,58.1151832460733,"Napoli - Università degli studi ""Federico II"""
Ricercatori/Ricercatrici,-43.54527938342967,56.45472061657033,"Napoli - Università degli studi ""Federico II"""
Assegnisti/e di Ricerca,-54.45544554455446,45.54455445544555,"Napoli - Università degli studi ""Federico II"""
Dottori/Dottoresse,-53.10734463276836,46.89265536723164,"Napoli - Università degli studi ""Federico II"""
Dottorandi/e,-44.90950226244344,55.09049773755657,"Napoli - Università degli studi ""Federico II"""
Laureati/e,-48.37696335078534,51.62303664921466,"Napoli - Università degli studi ""Federico II"""
Iscritti/e,-44.65751534800304,55.34248465199697,"Napoli - Università degli studi ""Federico II"""
Prof. Ordinari/e,-11.538461538461538,88.46153846153845,Benevento - Università degli studi del Sannio
Prof. Associati/e,-34.61538461538461,65.38461538461539,Benevento - Università degli studi del Sannio
Ricercatori/Ricercatrici,-50.98039215686274,49.01960784313725,Benevento - Università degli studi del Sannio
Assegnisti/e di Ricerca,-47.368421052631575,52.63157894736842,Benevento - Università degli studi del Sannio
Dottori/Dottoresse,-57.14285714285714,42.857142857142854,Benevento - Università degli studi del Sannio
Dottorandi/e,-50.63291139240506,49.36708860759494,Benevento - Università degli studi del Sannio
Laureati/e,-56.557377049180324,43.44262295081967,Benevento - Università degli studi del Sannio
Iscritti/e,-46.40551011622902,53.59448988377099,Benevento - Università degli studi del Sannio
Prof. Ordinari/e,-15.625,84.375,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Prof. Associati/e,-10.526315789473683,89.47368421052632,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Ricercatori/Ricercatrici,-17.94871794871795,82.05128205128204,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Assegnisti/e di Ricerca,-19.047619047619047,80.95238095238095,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Dottori/Dottoresse,-50.0,50.0,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Dottorandi/e,-36.666666666666664,63.33333333333333,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Laureati/e,-29.354838709677416,70.64516129032258,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Iscritti/e,-24.356297842727905,75.6437021572721,Cassino - Università degli Studi di Cassino e del Lazio Meridionale
Prof. Ordinari/e,-40.0,60.0,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Prof. Associati/e,-87.5,12.5,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Ricercatori/Ricercatrici,-100.0,0.0,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Assegnisti/e di Ricerca,-0.0,0.0,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Dottori/Dottoresse,-0.0,0.0,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Dottorandi/e,-0.0,0.0,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Laureati/e,-59.06183368869936,40.93816631130064,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Iscritti/e,-58.235294117647065,41.76470588235294,"Roma - Università telematica ""San Raffaele"" - già ""UNITEL"""
Prof. Ordinari/e,-16.666666666666664,83.33333333333334,Roma - Università telematica Niccolò Cusano (già UNISU)
Prof. Associati/e,-46.15384615384615,53.84615384615385,Roma - Università telematica Niccolò Cusano (già UNISU)
Ricercatori/Ricercatrici,-31.57894736842105,68.42105263157895,Roma - Università telematica Niccolò Cusano (già UNISU)
Assegnisti/e di Ricerca,-41.66666666666667,58.333333333333336,Roma - Università telematica Niccolò Cusano (già UNISU)
Dottori/Dottoresse,-0.0,0.0,Roma - Università telematica Niccolò Cusano (già UNISU)
Dottorandi/e,-0.0,100.0,Roma - Università telematica Niccolò Cusano (già UNISU)
Laureati/e,-15.064935064935064,84.93506493506493,Roma - Università telematica Niccolò Cusano (già UNISU)
Iscritti/e,-16.854274414359598,83.1457255856404,Roma - Università telematica Niccolò Cusano (già UNISU)
Prof. Ordinari/e,-0.0,0.0,Roma - Universitas telematica Mercatorum
Prof. Associati/e,-0.0,0.0,Roma - Universitas telematica Mercatorum
Ricercatori/Ricercatrici,-0.0,0.0,Roma - Universitas telematica Mercatorum
Assegnisti/e di Ricerca,-0.0,0.0,Roma - Universitas telematica Mercatorum
Dottori/Dottoresse,-0.0,0.0,Roma - Universitas telematica Mercatorum
Dottorandi/e,-0.0,0.0,Roma - Universitas telematica Mercatorum
Laureati/e,-0.0,0.0,Roma - Universitas telematica Mercatorum
Iscritti/e,-13.427023366068406,86.5729766339316,Roma - Universitas telematica Mercatorum
Prof. Ordinari/e,-0.0,0.0,"Roma - Università telematica internazionale ""UNINETTUNO"""
Prof. Associati/e,-0.0,100.0,"Roma - Università telematica internazionale ""UNINETTUNO"""
Ricercatori/Ricercatrici,-16.666666666666664,83.33333333333334,"Roma - Università telematica internazionale ""UNINETTUNO"""
Assegnisti/e di Ricerca,-0.0,0.0,"Roma - Università telematica internazionale ""UNINETTUNO"""
Dottori/Dottoresse,-0.0,0.0,"Roma - Università telematica internazionale ""UNINETTUNO"""
Dottorandi/e,-28.57142857142857,71.42857142857143,"Roma - Università telematica internazionale ""UNINETTUNO"""
Laureati/e,-17.647058823529413,82.35294117647058,"Roma - Università telematica internazionale ""UNINETTUNO"""
Iscritti/e,-17.300832342449464,82.69916765755053,"Roma - Università telematica internazionale ""UNINETTUNO"""
Prof. Ordinari/e,-0.0,100.0,"Roma - Università telematica ""Guglielmo Marconi"""
Prof. Associati/e,-20.0,80.0,"Roma - Università telematica ""Guglielmo Marconi"""
Ricercatori/Ricercatrici,-25.0,75.0,"Roma - Università telematica ""Guglielmo Marconi"""
Assegnisti/e di Ricerca,-100.0,0.0,"Roma - Università telematica ""Guglielmo Marconi"""
Dottori/Dottoresse,-0.0,0.0,"Roma - Università telematica ""Guglielmo Marconi"""
Dottorandi/e,-10.0,90.0,"Roma - Università telematica ""Guglielmo Marconi"""
Laureati/e,-14.705882352941178,85.29411764705883,"Roma - Università telematica ""Guglielmo Marconi"""
Iscritti/e,-11.418685121107266,88.58131487889274,"Roma - Università telematica ""Guglielmo Marconi"""
Prof. Ordinari/e,-35.714285714285715,64.28571428571429,"Roma - Università ""Campus Bio-Medico"""
Prof. Associati/e,-22.727272727272727,77.27272727272727,"Roma - Università ""Campus Bio-Medico"""
Ricercatori/Ricercatrici,-33.33333333333333,66.66666666666666,"Roma - Università ""Campus Bio-Medico"""
Assegnisti/e di Ricerca,-42.857142857142854,57.14285714285714,"Roma - Università ""Campus Bio-Medico"""
Dottori/Dottoresse,-66.66666666666666,33.33333333333333,"Roma - Università ""Campus Bio-Medico"""
Dottorandi/e,-24.444444444444443,75.55555555555556,"Roma - Università ""Campus Bio-Medico"""
Laureati/e,-62.14511041009464,37.85488958990536,"Roma - Università ""Campus Bio-Medico"""
Iscritti/e,-60.836501901140686,39.163498098859314,"Roma - Università ""Campus Bio-Medico"""
Prof. Ordinari/e,-19.298245614035086,80.7017543859649,Roma - III Università degli studi
Prof. Associati/e,-38.46153846153847,61.53846153846154,Roma - III Università degli studi
Ricercatori/Ricercatrici,-43.90243902439025,56.09756097560976,Roma - III Università degli studi
Assegnisti/e di Ricerca,-41.07142857142857,58.92857142857143,Roma - III Università degli studi
Dottori/Dottoresse,-48.80952380952381,51.19047619047619,Roma - III Università degli studi
Dottorandi/e,-41.88679245283019,58.11320754716981,Roma - III Università degli studi
Laureati/e,-41.32693844924061,58.6730615507594,Roma - III Università degli studi
Iscritti/e,-36.427656850192065,63.57234314980794,Roma - III Università degli studi
Prof. Ordinari/e,-25.694444444444443,74.30555555555556,"Roma - Università degli studi di ""Tor Vergata"""
Prof. Associati/e,-38.392857142857146,61.60714285714286,"Roma - Università degli studi di ""Tor Vergata"""
Ricercatori/Ricercatrici,-37.714285714285715,62.28571428571429,"Roma - Università degli studi di ""Tor Vergata"""
Assegnisti/e di Ricerca,-47.45762711864407,52.54237288135594,"Roma - Università degli studi di ""Tor Vergata"""
Dottori/Dottoresse,-41.0958904109589,58.9041095890411,"Roma - Università degli studi di ""Tor Vergata"""
Dottorandi/e,-42.62948207171315,57.37051792828686,"Roma - Università degli studi di ""Tor Vergata"""
