uni,medie,top,ind,cat
Cassino - Università degli Studi di Cassino e del Lazio Meridionale,27.51937984496124,20.588235294117645,1.336655592469546,Da ricercatrici a professoresse ordinarie
Udine - Università degli studi,34.10138248847927,25.287356321839084,1.3485546711353162,Da ricercatrici a professoresse ordinarie
Torino - Università degli studi,43.44795539033458,31.87855787476281,1.362920981589662,Da ricercatrici a professoresse ordinarie
Modena e Reggio Emilia - Università degli studi,39.70406905055487,28.879310344827587,1.3748274656311537,Da ricercatrici a professoresse ordinarie
Foggia - Università degli studi,44.84536082474227,32.5,1.379857256145916,Da ricercatrici a professoresse ordinarie
Firenze - Università degli studi,41.11498257839721,29.6875,1.3849257289565378,Da ricercatrici a professoresse ordinarie
Genova - Università degli studi,38.485080336648814,27.74566473988439,1.3870664371333845,Da ricercatrici a professoresse ordinarie
Bologna - Università degli studi,41.04104104104104,29.44038929440389,1.3940386667659397,Da ricercatrici a professoresse ordinarie
Chieti e Pescara - Università degli studi Gabriele D'Annunzio,42.65734265734265,30.136986301369863,1.415448188175461,Da ricercatrici a professoresse ordinarie
Milano - Università degli studi,43.08625921109666,30.428134556574925,1.416000679600865,Da ricercatrici a professoresse ordinarie
Trento - Università degli studi,29.115646258503403,20.491803278688526,1.420843537414966,Da ricercatrici a professoresse ordinarie
"Roma - Università degli studi ""La Sapienza""",40.18238814477059,27.812113720642767,1.444780089294196,Da ricercatrici a professoresse ordinarie
Campobasso - Università degli studi del Molise,35.06944444444444,24.175824175824175,1.4505997474747474,Da ricercatrici a professoresse ordinarie
"Venezia - Università degli studi ""Cà Foscari""",40.50632911392405,27.77777777777778,1.4582278481012658,Da ricercatrici a professoresse ordinarie
"Napoli - Università degli studi della Campania ""Luigi Vanvitelli""",39.79381443298969,27.173913043478258,1.4644123711340207,Da ricercatrici a professoresse ordinarie
L'Aquila - Università degli studi,36.81592039800995,25.0,1.472636815920398,Da ricercatrici a professoresse ordinarie
Bari - Politecnico,24.316109422492403,16.483516483516482,1.4751773049645391,Da ricercatrici a professoresse ordinarie
"Roma - Università telematica ""Guglielmo Marconi""",27.692307692307693,18.75,1.476923076923077,Da ricercatrici a professoresse ordinarie
"Urbino - Università degli studi ""Carlo Bo""",42.89855072463768,28.915662650602407,1.4835748792270531,Da ricercatrici a professoresse ordinarie
TOTALE ATENEI,38.94483665559247,26.224422442244222,1.4850598422658594,Da ricercatrici a professoresse ordinarie
Padova - Università degli studi,36.56276326874474,24.540901502504173,1.4898704216311631,Da ricercatrici a professoresse ordinarie
Bari - Università degli studi,44.907407407407405,30.103806228373703,1.4917518092805448,Da ricercatrici a professoresse ordinarie
Palermo - Università degli studi,38.81074168797954,26.005361930294907,1.4924130566614813,Da ricercatrici a professoresse ordinarie
Arcavacata di Rende - Università della Calabria,38.34586466165413,25.675675675675674,1.4934705184012662,Da ricercatrici a professoresse ordinarie
"Milano - Università Cattolica del ""Sacro Cuore""",39.93808049535604,26.57894736842105,1.5026208503203262,Da ricercatrici a professoresse ordinarie
Macerata - Università degli studi,51.26353790613718,33.78378378378378,1.5174007220216605,Da ricercatrici a professoresse ordinarie
Viterbo - Università della Tuscia,37.5366568914956,24.675324675324674,1.5212224108658743,Da ricercatrici a professoresse ordinarie
Roma - III Università degli studi,40.066964285714285,26.2987012987013,1.5235339506172838,Da ricercatrici a professoresse ordinarie
Pisa - Università degli studi,35.954301075268816,23.589743589743588,1.5241497194950913,Da ricercatrici a professoresse ordinarie
"Napoli - Università degli studi ""Federico II""",40.25883175935642,26.13941018766756,1.5401583842297377,Da ricercatrici a professoresse ordinarie
Parma - Università degli studi,38.12038014783527,24.481327800829874,1.557120612818356,Da ricercatrici a professoresse ordinarie
Brescia - Università degli studi,37.802907915993536,24.22680412371134,1.560375348021861,Da ricercatrici a professoresse ordinarie
Teramo - Università degli studi,38.63636363636363,24.528301886792452,1.5751748251748252,Da ricercatrici a professoresse ordinarie
"Roma - Università degli studi di ""Tor Vergata""",35.496794871794876,22.530864197530864,1.5754741833508958,Da ricercatrici a professoresse ordinarie
Trieste - Università degli studi,35.037593984962406,22.06896551724138,1.587640977443609,Da ricercatrici a professoresse ordinarie
Catania - Università degli studi,37.276595744680854,23.47266881028939,1.5880851063829786,Da ricercatrici a professoresse ordinarie
Salerno - Università degli studi,39.62075848303393,24.834437086092713,1.5953958749168329,Da ricercatrici a professoresse ordinarie
Bolzano - Libera Università,37.05035971223021,23.170731707317074,1.599015524422567,Da ricercatrici a professoresse ordinarie
"Castellanza - Università ""Carlo Cattaneo""",30.612244897959183,19.047619047619047,1.6071428571428572,Da ricercatrici a professoresse ordinarie
"Casamassima - Libera Università Mediterranea ""Jean Monnet""",30.909090909090907,19.230769230769234,1.6072727272727272,Da ricercatrici a professoresse ordinarie
"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""",28.205128205128204,17.543859649122805,1.6076923076923078,Da ricercatrici a professoresse ordinarie
Torino - Politecnico,28.94461859979101,17.880794701986755,1.6187545957660898,Da ricercatrici a professoresse ordinarie
Cagliari - Università degli studi,40.95427435387674,24.880382775119617,1.6460467961461998,Da ricercatrici a professoresse ordinarie
Verona - Università degli studi,41.41414141414141,25.142857142857146,1.6471533516988062,Da ricercatrici a professoresse ordinarie
"Enna - Libera Università della Sicilia Centrale ""KORE""",39.55223880597015,24.0,1.6480099502487562,Da ricercatrici a professoresse ordinarie
Ancona - Università Politecnica delle Marche,36.6554054054054,22.15909090909091,1.6541926541926542,Da ricercatrici a professoresse ordinarie
Reggio Calabria - Università per Stranieri,55.55555555555556,33.33333333333333,1.6666666666666667,Da ricercatrici a professoresse ordinarie
Roma - LUISS Libera Università internazionale degli studi sociali Guido Carli,22.413793103448278,13.333333333333334,1.6810344827586208,Da ricercatrici a professoresse ordinarie
"Napoli - Università degli studi ""Parthenope""",43.440233236151606,25.49019607843137,1.7041937654182553,Da ricercatrici a professoresse ordinarie
Lecce - Università del Salento,40.06734006734007,23.214285714285715,1.725977725977726,Da ricercatrici a professoresse ordinarie
Lucca - Scuola IMT Alti Studi,14.634146341463413,8.333333333333332,1.7560975609756098,Da ricercatrici a professoresse ordinarie
Siena - Università degli studi,37.130801687763714,20.994475138121548,1.7685987119697981,Da ricercatrici a professoresse ordinarie
Benevento - Università degli studi del Sannio,37.79904306220095,21.27659574468085,1.7765550239234449,Da ricercatrici a professoresse ordinarie
Sassari - Università degli studi,35.63025210084034,19.858156028368796,1.7942376950780312,Da ricercatrici a professoresse ordinarie
"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""",42.40837696335078,23.076923076923077,1.837696335078534,Da ricercatrici a professoresse ordinarie
Roma - Saint Camillus International,46.15384615384615,25.0,1.8461538461538463,Da ricercatrici a professoresse ordinarie
Camerino - Università degli studi,35.587188612099645,19.17808219178082,1.8556176919166245,Da ricercatrici a professoresse ordinarie
Reggio Calabria - Università degli studi Mediterranea,34.21052631578947,18.181818181818183,1.881578947368421,Da ricercatrici a professoresse ordinarie
L'Aquila - Gran Sasso Science Institute,28.30188679245283,15.0,1.8867924528301887,Da ricercatrici a professoresse ordinarie
"Milano - Università commerciale ""Luigi Bocconi""",28.74617737003058,14.912280701754385,1.9276848354020506,Da ricercatrici a professoresse ordinarie
"Catanzaro - Università degli studi ""Magna Grecia""",37.883959044368595,19.587628865979383,1.934075803844081,Da ricercatrici a professoresse ordinarie
Perugia - Università degli studi,40.9375,20.348837209302324,2.0117857142857143,Da ricercatrici a professoresse ordinarie
Rozzano (MI) Humanitas University,27.027027027027028,13.333333333333334,2.027027027027027,Da ricercatrici a professoresse ordinarie
Milano - Università Vita-Salute San Raffaele,27.500000000000004,13.513513513513514,2.035,Da ricercatrici a professoresse ordinarie
Ferrara - Università degli studi,38.89695210449927,18.947368421052634,2.052894694404128,Da ricercatrici a professoresse ordinarie
Potenza - Università degli studi della Basilicata,38.05031446540881,17.307692307692307,2.1984626135569534,Da ricercatrici a professoresse ordinarie
Roma - Università telematica Niccolò Cusano (già UNISU),36.27450980392157,15.789473684210526,2.2973856209150325,Da ricercatrici a professoresse ordinarie
Milano - Libera Università di Lingue e Comunicazione (IULM),48.93617021276596,21.052631578947366,2.3244680851063833,Da ricercatrici a professoresse ordinarie
Pisa - Scuola normale superiore,25.301204819277107,10.714285714285714,2.36144578313253,Da ricercatrici a professoresse ordinarie
Roma - Universitas Mercatorum,44.44444444444444,18.181818181818183,2.444444444444444,Da ricercatrici a professoresse ordinarie
"Roma - Università telematica ""San Raffaele"" - già ""UNITEL""",58.92857142857143,23.076923076923077,2.5535714285714284,Da ricercatrici a professoresse ordinarie
Roma - Link Campus University,45.83333333333333,16.666666666666664,2.75,Da ricercatrici a professoresse ordinarie
"Roma - Università telematica ""Unitelma Sapienza""",50.0,18.181818181818183,2.75,Da ricercatrici a professoresse ordinarie
"Roma - Università degli studi del ""Foro Italico""",47.540983606557376,15.384615384615385,3.0901639344262293,Da ricercatrici a professoresse ordinarie
